T_W1,T_W2,T_W3,T_W4
1147.96710908231,1147.96710908231,1212.24530218993,1214.94043484294
1147.96711640866,1147.96711640866,1212.28071200429,1214.96779464264
1147.96712360598,1147.96712360597,1212.31620229847,1214.99519965268
1147.96713066269,1147.96713066269,1212.35057336048,1215.02169081137
1147.96713760374,1147.96713760374,1212.3844699202,1215.04774906288
1147.96714439656,1147.96714439656,1212.41769716781,1215.07323687643
1147.96715092509,1147.96715092509,1212.44962979389,1215.09770871127
1147.96715771195,1147.96715771195,1212.48262669518,1215.12287124932
1147.96716405621,1147.96716405621,1212.51415116845,1215.14684651288
1147.9671704969,1147.9671704969,1212.54593118014,1215.17094820275
1147.96717680192,1147.96717680191,1212.57686818817,1215.19433382025
1147.96718317539,1147.96718317539,1212.60759136542,1215.21749428061
1147.96718891678,1147.96718891678,1212.63647865271,1215.23921156009
1147.96719536784,1147.96719536784,1212.66841063997,1215.26308724734
1147.96720112092,1147.96720112092,1212.69641945022,1215.28410489425
1147.96720705929,1147.96720705929,1212.7259066262,1215.30600021817
1147.96721307362,1147.96721307362,1212.75614150715,1215.32834148201
1147.96721852521,1147.96721852521,1212.78129330205,1215.34721995829
1147.96722447983,1147.96722447983,1212.81209003438,1215.36972646325
1147.96723023313,1147.96723023313,1212.84058477573,1215.39049983935
1147.96723569288,1147.96723569288,1212.8674885534,1215.41030236062
1147.96724118428,1147.96724118428,1212.89449939298,1215.42978767416
1147.96724675782,1147.96724675782,1212.92288194453,1215.45024386266
1147.96725182448,1147.96725182448,1212.94598746265,1215.46718806285
1147.96725710564,1147.96725710564,1212.97257485022,1215.48619568015
1147.96726221987,1147.96726221987,1212.99759377111,1215.50411110686
1147.96726734784,1147.96726734784,1213.02327154514,1215.52232430606
1147.96727239827,1147.96727239827,1213.04797324278,1215.53982579384
1147.96727740924,1147.96727740924,1213.07298389561,1215.55738607225
1147.96728235984,1147.96728235984,1213.0971150679,1215.57430166829
1147.96728725747,1147.96728725747,1213.12146206124,1215.59121055726
1147.96729209717,1147.96729209717,1213.14494522106,1215.60748788845
1147.96729688028,1147.96729688028,1213.16860921623,1215.62373276439
1147.96730160569,1147.96730160569,1213.19141727212,1215.63935406345
1147.96730627378,1147.96730627378,1213.21438612438,1215.65492747923
1147.9673108845,1147.9673108845,1213.23650909902,1215.66988672134
1147.96731543821,1147.96731543821,1213.25877757124,1215.68478593196
1147.96731993524,1147.96731993524,1213.28021244279,1215.69908180314
1147.96732437608,1147.96732437608,1213.30177927497,1215.71330670945
1147.96732876121,1147.96732876121,1213.32252610207,1215.72693994157
1147.96733309119,1147.96733309119,1213.34339204838,1215.74049175474
1147.96733736659,1147.96733736659,1213.36345229091,1215.7534639871
1147.96734158802,1147.96734158802,1213.38361906607,1215.76634452645
1147.96734575609,1147.96734575609,1213.40299481453,1215.77865779315
1147.96734987143,1147.96734987143,1213.42246456943,1215.79086914386
1147.96735393467,1147.96735393467,1213.44115818567,1215.80252563987
1147.96735794644,1147.96735794644,1213.45993325617,1215.81406999266
1147.96736190738,1147.96736190738,1213.4779472068,1215.82507196801
1147.96736581811,1147.96736581811,1213.49602999674,1215.83595154636
1147.96736967927,1147.96736967927,1213.51336677733,1215.84630125933
1147.96737349147,1147.96737349147,1213.5307597056,1215.85651828763
1147.96737725534,1147.96737725534,1213.54742180713,1215.86621798481
1147.96738097148,1147.96738097148,1213.5641272847,1215.87577467512
1147.96738464051,1147.96738464051,1213.58011717948,1215.8848265835
1147.96738826302,1147.96738826302,1213.59613760007,1215.89372513049
1147.9673918396,1147.9673918396,1213.61145773635,1215.9021314547
1147.96739537083,1147.96739537083,1213.62679547306,1215.9103740341
1147.96739885731,1147.96739885731,1213.64144827335,1215.91813695578
1147.96740229959,1147.96740229959,1213.65610567786,1215.92572572426
1147.96740569825,1147.96740569825,1213.6700935388,1215.93284740227
1147.96740905383,1147.96740905383,1213.68407294154,1215.93978449774
1147.96741236689,1147.96741236689,1213.69739823426,1215.94626706861
1147.96741563798,1147.96741563798,1213.71070194491,1215.95255461069
1147.96741886762,1147.96741886762,1213.72336701566,1215.95840018911
1147.96742205634,1147.96742205634,1213.73599732371,1215.96404027959
1147.96742520468,1147.96742520468,1213.74800449436,1215.96925095888
1147.96742831314,1147.96742831314,1213.75996366965,1215.97424568215
1147.96743138223,1147.96743138223,1213.77131523821,1215.97882353464
1147.96743441246,1147.96743441246,1213.78260553139,1215.98317495808
1147.96743740432,1147.96743740432,1213.7933037725,1215.98712203552
1147.96744035829,1147.96744035829,1213.80392741548,1215.99083220978
1147.96744327487,1147.96744327487,1213.81397458079,1215.99415054365
1147.96744615453,1147.96744615453,1213.8239337871,1215.99722150297
1147.96744899774,1147.96744899774,1213.83333210563,1215.9999131048
1147.96745180497,1147.96745180497,1213.84262907075,1216.0023468673
1147.96745457667,1147.96745457667,1213.85138074926,1216.00441372892
1147.96745731329,1147.96745731329,1213.86001765098,1216.00621229682
1147.96746001529,1147.96746001529,1213.86812487426,1216.00765639067
1147.9674626831,1147.9674626831,1213.8761038729,1216.00882175051
1147.96746531715,1147.96746531715,1213.88356880408,1216.00964502988
1147.96746791789,1147.96746791789,1213.8908920428,1216.01017915275
1147.96747048573,1147.96747048573,1213.89771682363,1216.01038355201
1147.96747302109,1147.96747302109,1213.90438642868,1216.01028839377
1147.96747552438,1147.96747552438,1213.91057317979,1216.0098758286
1147.96747799602,1147.96747799602,1213.91659126075,1216.00915333008
1147.96748043639,1147.96748043639,1213.92214208191,1216.0081256977
1147.96748284591,1147.96748284591,1213.92751073192,1216.00677778486
1147.96748522497,1147.96748522497,1213.93242770231,1216.00513696429
1147.96748757395,1147.96748757395,1213.93714899829,1216.00316554841
1147.96748989322,1147.96748989323,1213.94143417671,1216.00091340061
1147.96749218319,1147.96749218319,1213.94551017955,1215.99832037851
1147.9674944442,1147.9674944442,1213.9491656047,1215.99545874667
1147.96749667663,1147.96749667663,1213.95259835953,1215.99224600082
1147.96749888085,1147.96749888085,1213.95562605019,1215.9887767105
1147.96750105721,1147.96750105721,1213.95841758652,1215.98494610924
1147.96750320607,1147.96750320607,1213.96081954182,1215.98087096862
1147.96750532777,1147.96750532777,1213.96297187376,1215.97642436628
1147.96750742267,1147.96750742267,1213.96475007341,1215.97174516636
1147.96750949109,1147.96750949109,1213.96626519984,1215.96668440345
1147.96751153338,1147.96751153338,1213.96742160431,1215.96140291819
1147.96751354987,1147.96751354987,1213.9683015091,1215.95572982156
1147.96751554088,1147.96751554088,1213.96883805986,1215.94984780816
1147.96751750674,1147.96751750674,1213.96908471203,1215.94356419111
1147.96751944777,1147.96751944777,1213.96900333178,1215.93708339013
1147.96752136428,1147.96752136428,1213.96861868566,1215.93019105262
1147.96752325658,1147.96752325658,1213.9679212785,1215.92311318822
1147.96752512499,1147.96752512499,1213.96690727393,1215.91561391696
1147.96752696979,1147.96752696979,1213.96559572561,1215.90794069706
1147.9675287913,1147.9675287913,1213.96395428811,1215.89983626569
1147.96753058981,1147.96753058981,1213.96203046621,1215.89156938217
1147.96753236561,1147.96753236561,1213.9597635071,1215.88286155138
1147.96753411898,1147.96753411898,1213.95722926127,1215.87400268026
1147.96753585021,1147.96753585021,1213.95433867787,1215.86469319794
1147.96753755959,1147.96753755959,1213.95119583997,1215.85524399956
1147.96753924738,1147.96753924738,1213.94768351577,1215.84533460095
1147.96754091387,1147.96754091387,1213.94393390015,1215.83529672013
1147.96754255932,1147.96754255932,1213.93980170493,1215.82478912792
1147.96754418399,1147.96754418399,1213.93544710853,1215.8141641942
1147.96754578816,1147.96754578816,1213.93069689854,1215.80306011867
1147.96754737208,1147.96754737208,1213.92573910119,1215.79184974642
1147.967548936,1147.967548936,1213.92037271928,1215.78015088559
1147.96755048019,1147.96755048019,1213.91481348382,1215.76835667424
1147.96755200488,1147.96755200488,1213.90883275958,1215.75606471397
1147.96755351034,1147.96755351034,1213.90267383209,1215.74368824814
1147.96755499679,1147.96755499679,1213.89608058203,1215.73080486226
1147.96755646449,1147.96755646449,1213.889323692,1215.71784771197
